describe_product,price,sold_out,province
(ลูกค้าใหม่ 1 บาท) เสื้อ+กางเกงขาสั้น ผ้าเบา ไม่หด ไม่ย้วย เสื้อยืดคอกลมสีพื้น ชุดกีฬาผู้ชาย ชุดซื้อ 2 ชิ้น ลด ฿5,฿129 - ฿149,ขายแล้ว 43พัน ชิ้น,จังหวัดกรุงเทพมหานคร
เด็กชุดแขนสั้นผ้าฝ้ายฤดูร้อนชายฤดูร้อนเสื้อผ้าเกาหลีรุ่นเสื้อผ้าเด็กหญิงเสื้อยืดเด็กเสื้อผ้าขายส่ง,฿198,,จังหวัดชุมพร
ใส่ก็ผอม เสื้อกล้ามผู้ชาย (S-XXXL) รัดหน้าท้อง เก็บพุงโดยเฉพาะ ปรับระดับความกระชับได้ เสื้อกล้ามรัดหน้าท้องสำหรับผู้ชายซื้อ 2 ชิ้น ลด 3%,฿378฿189,ขายแล้ว 32 ชิ้น,จังหวัดสมุทรปราการ
ชุดสูทแขนสั้นผู้ชายฤดูร้อนปี 2022 ใหม่ลำลองสำหรับบุรุษสองชิ้นเวอร์ชั่นเกาหลีของเยาวชนผ้าไหมน้ำแข็งชุดกีฬาผู้ชาย,฿755,,จังหวัดกำแพงเพชร
เสื้อผ้าเด็กผู้หญิง(เดรส​/รอม​ วินเทจ)​โค้ดลด ฿90ซื้อ 2 ชิ้น ลด 10%,"฿1,290",,จังหวัดนนทบุรี
(ลูกค้าใหม่ 1 บาท) เสื้อ+กางเกงขาสั้น ผ้าเบา ไม่หด ไม่ย้วย เสื้อยืดคอกลมสีพื้น ชุดกีฬาผู้ชาย ชุดซื้อ 2 ชิ้น ลด ฿5,฿129 - ฿149,ขายแล้ว 43พัน ชิ้น,จังหวัดกรุงเทพมหานคร
Cod กางเกงขายาวลําลอง ทรงหลวม พลัสไซซ์ สําหรับผู้ชาย ไซซ์ M-5XL,฿316฿144,ขายแล้ว 30พัน ชิ้น,ต่างประเทศ
"ใส่โค้ด 615FASH150 ลด150 เสื้อเชิ้ตเกาหลี แขนสั้น สีพื้น ผ้านิ่มนุ่ม เบา ใส่สบาย ไม่ต้องรีด ระบายความร้อนได้ยอดเยี่ยม฿108 | 7 ก.ค.,00:00",฿124 - ฿184,ขายแล้ว 52.5พัน ชิ้น,จังหวัดนนทบุรี
ใส่โค้ด 615FASH150 ลด150 เสื้อเชิ้ตเกาหลี🌟 แขนยาว🌟 สีพื้น ผ้านิ่มนุ่ม เบา ใส่สบาย ไม่ต้องรีด ระบายความร้อนได้ยอดเยี่ยมโค้ดลด ฿20,฿155 - ฿215,ขายแล้ว 12.6พัน ชิ้น,จังหวัดนนทบุรี
กางเกงกีฬาลําลอง ทรงหลวม ขนาดใหญ่ สําหรับผู้ชาย และผู้หญิงซื้อ 2 ชิ้น ลด 2%,฿352฿219,ขายแล้ว 34 ชิ้น,ต่างประเทศ
