describe_product,price,sold_out,province
(ลูกค้าใหม่ 1 บาท) เสื้อ+กางเกงขาสั้น ผ้าเบา ไม่หด ไม่ย้วย เสื้อยืดคอกลมสีพื้น ชุดกีฬาผู้ชาย ชุดซื้อ 2 ชิ้น ลด ฿5,฿129 - ฿149,ขายแล้ว 43พัน ชิ้น,จังหวัดกรุงเทพมหานคร
ชุดสูทแขนสั้นผู้ชายฤดูร้อนปี 2022 ใหม่ลำลองสำหรับบุรุษสองชิ้นเวอร์ชั่นเกาหลีของเยาวชนผ้าไหมน้ำแข็งชุดกีฬาผู้ชาย,฿755,,จังหวัดกำแพงเพชร
เด็กชุดแขนสั้นผ้าฝ้ายฤดูร้อนชายฤดูร้อนเสื้อผ้าเกาหลีรุ่นเสื้อผ้าเด็กหญิงเสื้อยืดเด็กเสื้อผ้าขายส่ง,฿198,,จังหวัดชุมพร
ใส่ก็ผอม เสื้อกล้ามผู้ชาย (S-XXXL) รัดหน้าท้อง เก็บพุงโดยเฉพาะ ปรับระดับความกระชับได้ เสื้อกล้ามรัดหน้าท้องสำหรับผู้ชายซื้อ 2 ชิ้น ลด 3%,฿378฿189,ขายแล้ว 32 ชิ้น,จังหวัดสมุทรปราการ
เสื้อผ้าเด็กผู้หญิง(เดรส​/รอม​ วินเทจ)​โค้ดลด ฿90ซื้อ 2 ชิ้น ลด 10%,"฿1,290",,จังหวัดนนทบุรี
��🔥กางเกงขาสั้นเอวยืด brng brng 🔥🔥ใส่สบาย ราคาถูก ส่งไว มีบริการเก็บเงินปลายทางจ้ะ,฿39 - ฿49,ขายแล้ว 94.8พัน ชิ้น,จังหวัดแพร่
ใหม่！ยอดฮิตเสื้อทีเชิร์ตเสื้อยืดคอกลมแฟชั่นT-342-,฿26 - ฿45,ขายแล้ว 1.9พัน ชิ้น,จังหวัดสมุทรสาคร
T0028 ใหม่2020ยอดฮิต เสื้อผ้าคุณผู้หญิงและคุณผู้ชาย เสื้อยืดคอกลมแฟชั่นunisex เสื้อแขนสั้นใส่ได้ทั้งผู้หญิงแ,฿25 - ฿48,ขายแล้ว 15.9พัน ชิ้น,จังหวัดสมุทรสาคร
พร้อมส่ง กางเกงขาสั้นผู้ชาย กางเกงผู้ชาย ผ้าฝ้าย  ผ้าดี สีไม่ตก ทรงสวย ผ้าฟอก,฿259฿169,ขายแล้ว 43.7พัน ชิ้น,จังหวัดกรุงเทพมหานคร
T0019 มี7สีให้เลือกSize(S-2XL)ใหม่2020ยอดฮิต เสื้อผ้าคุณผู้หญิงและคุณผู้ชาย เสื้อทีเชิ๊ต เสื้อยืดคอกลมแฟชั่นunisex เสื้อ,฿25 - ฿48,ขายแล้ว 10.7พัน ชิ้น,จังหวัดสมุทรสาคร
T1 กางเกงขาสั้น สีพื้น เอวกระดุมโลหะ-ซิป มีกระเป๋าข้าง/หลัง (ยาว 21 นิ้ว)ส่วนลด 5%ขายส่ง,฿200฿88,ขายแล้ว 25.6พัน ชิ้น,จังหวัดปทุมธานี
T0234 เสื้อยืดคอกลมแฟชั่น  เสื้อยอดฮิตลายเสื้อแขนสั้นเสื้อแขนสั้นใส่ได้ทั้งผู้หญิงและชาย ลายแฟชั่น เสื้อผ้าแฟชั่นนานาชาต,฿25 - ฿48,ขายแล้ว 1.4พัน ชิ้น,จังหวัดสมุทรสาคร
เสื้อยืดแขนสั้นคอกลมชายลายเท่ห์ๆสายแบดบอย(อ่านรายละเอียดก่อนสั่ง),฿32 - ฿62,ขายแล้ว 25.4พัน ชิ้น,จังหวัดสมุทรสาคร
เสื้อยืดชาย oversize คอกลม แขนสั้นส่วนลด 50%,฿79฿75,ขายแล้ว 48.4พัน ชิ้น,จังหวัดกรุงเทพมหานคร
"ใส่โค้ด 615FASH150 ลด150 เสื้อเชิ้ตเกาหลี แขนสั้น สีพื้น ผ้านิ่มนุ่ม เบา ใส่สบาย ไม่ต้องรีด ระบายความร้อนได้ยอดเยี่ยม฿108 | 7 ก.ค.,00:00",฿124 - ฿184,ขายแล้ว 52.5พัน ชิ้น,จังหวัดนนทบุรี
"[ลด 15% โค้ด SPPDAYH15] โฉมใหม่กระดุมสีเดียวกับเสื้อ S1: เสื้อเชิ้ตเกาหลี แขนสั้น สีพื้น มีไซซ์ M L XL XXLชาย/หญิง฿88 | 7 ก.ค.,00:00",฿119 - ฿125,ขายแล้ว 179.9พัน ชิ้น,จังหวัดสมุทรปราการ
เสื้อยืดคอกลมแขนสั้นสกรีนลาย เสื้อยืดแฟชั่นผู้ชาย เสื้อแนวสตรีท(อ่านไซด์ก่อนสั่ง )ส่วนลด 5%,฿35 - ฿62,ขายแล้ว 74.2พัน ชิ้น,จังหวัดสมุทรสาคร
T0018 มี7สีให้เลือกSize(S-2XL)ใหม่2020ยอดฮิต เสื้อผ้าคุณผู้หญิงและคุณผู้ชาย เสื้อทีเชิ๊ต เสื้อยืดคอกลมแฟชั่นunisex เสื้อ,฿25 - ฿48,ขายแล้ว 1.5พัน ชิ้น,จังหวัดสมุทรสาคร
